n_types,n_tokens,sample_id
3946,30000,27
4493,40000,27
5064,50000,27
5459,60000,27
5886,70000,27
6313,80000,27
6629,90000,27
6926,100000,27
6873,100000,27
9131,200000,27
10601,300000,27
11835,400000,27
12841,500000,27
13605,600000,27
14367,700000,27
79,100,28
137,200,28
183,300,28
229,400,28
270,500,28
333,600,28
339,700,28
366,800,28
409,900,28
461,1000,28
455,1000,28
744,2000,28
978,3000,28
1155,4000,28
1353,5000,28
1559,6000,28
1681,7000,28
1876,8000,28
2011,9000,28
2116,10000,28
2185,10000,28
3153,20000,28
3955,30000,28
4536,40000,28
5040,50000,28
5479,60000,28
5861,70000,28
6250,80000,28
6577,90000,28
6949,100000,28
6918,100000,28
9153,200000,28
10762,300000,28
11888,400000,28
12826,500000,28
13658,600000,28
14343,700000,28
84,100,29
139,200,29
188,300,29
231,400,29
273,500,29
323,600,29
343,700,29
380,800,29
411,900,29
454,1000,29
467,1000,29
758,2000,29
976,3000,29
1173,4000,29
1382,5000,29
1564,6000,29
1715,7000,29
1876,8000,29
2063,9000,29
2185,10000,29
2121,10000,29
3187,20000,29
3871,30000,29
4554,40000,29
5022,50000,29
5452,60000,29
5920,70000,29
6211,80000,29
6534,90000,29
6832,100000,29
6861,100000,29
9089,200000,29
10746,300000,29
11899,400000,29
12831,500000,29
13624,600000,29
14385,700000,29
75,100,30
138,200,30
205,300,30
215,400,30
270,500,30
304,600,30
355,700,30
356,800,30
465,900,30
462,1000,30
460,1000,30
764,2000,30
1036,3000,30
1205,4000,30
1387,5000,30
1603,6000,30
1687,7000,30
1859,8000,30
1988,9000,30
2145,10000,30
2162,10000,30
3157,20000,30
3931,30000,30
4511,40000,30
5052,50000,30
5462,60000,30
5899,70000,30
6269,80000,30
6603,90000,30
6889,100000,30
6840,100000,30
9171,200000,30
10690,300000,30
11824,400000,30
12804,500000,30
13645,600000,30
14349,700000,30
81,100,31
137,200,31
188,300,31
251,400,31
298,500,31
304,600,31
336,700,31
396,800,31
443,900,31
459,1000,31
437,1000,31
738,2000,31
1012,3000,31
1208,4000,31
1350,5000,31
1583,6000,31
1752,7000,31
1841,8000,31
1999,9000,31
2139,10000,31
2140,10000,31
3175,20000,31
3917,30000,31
4540,40000,31
5047,50000,31
5470,60000,31
5856,70000,31
6220,80000,31
6518,90000,31
6879,100000,31
6812,100000,31
9168,200000,31
10704,300000,31
11899,400000,31
12828,500000,31
13617,600000,31
14361,700000,31
79,100,32
136,200,32
195,300,32
228,400,32
280,500,32
331,600,32
343,700,32
399,800,32
425,900,32
422,1000,32
474,1000,32
777,2000,32
1002,3000,32
1201,4000,32
1401,5000,32
1580,6000,32
1702,7000,32
1863,8000,32
1982,9000,32
2161,10000,32
2128,10000,32
3155,20000,32
3901,30000,32
4528,40000,32
4917,50000,32
5544,60000,32
5923,70000,32
6181,80000,32
6580,90000,32
6887,100000,32
6845,100000,32
9072,200000,32
10595,300000,32
11816,400000,32
12821,500000,32
13653,600000,32
14332,700000,32
85,100,33
132,200,33
184,300,33
221,400,33
272,500,33
306,600,33
358,700,33
382,800,33
421,900,33
450,1000,33
440,1000,33
780,2000,33
1057,3000,33
1189,4000,33
1339,5000,33
1522,6000,33
1755,7000,33
1854,8000,33
2044,9000,33
2065,10000,33
2110,10000,33
3121,20000,33
3960,30000,33
4439,40000,33
5047,50000,33
5586,60000,33
5884,70000,33
6224,80000,33
6512,90000,33
6887,100000,33
6874,100000,33
9167,200000,33
10662,300000,33
11844,400000,33
12857,500000,33
13650,600000,33
14346,700000,33
81,100,34
133,200,34
193,300,34
235,400,34
249,500,34
311,600,34
362,700,34
385,800,34
425,900,34
468,1000,34
447,1000,34
727,2000,34
993,3000,34
1215,4000,34
1366,5000,34
1581,6000,34
1720,7000,34
1863,8000,34
2008,9000,34
2121,10000,34
2113,10000,34
3153,20000,34
3856,30000,34
4472,40000,34
5067,50000,34
5483,60000,34
5936,70000,34
6247,80000,34
6630,90000,34
6841,100000,34
6862,100000,34
9102,200000,34
10639,300000,34
11864,400000,34
12799,500000,34
13652,600000,34
14346,700000,34
68,100,35
138,200,35
186,300,35
256,400,35
265,500,35
314,600,35
343,700,35
371,800,35
441,900,35
485,1000,35
485,1000,35
752,2000,35
975,3000,35
1187,4000,35
1395,5000,35
1561,6000,35
1738,7000,35
1903,8000,35
2027,9000,35
2105,10000,35
2142,10000,35
3138,20000,35
3903,30000,35
4571,40000,35
5055,50000,35
5514,60000,35
5899,70000,35
6260,80000,35
6533,90000,35
6927,100000,35
6880,100000,35
9021,200000,35
10606,300000,35
11830,400000,35
12903,500000,35
13595,600000,35
14357,700000,35
